obs_ID,study_ID,year_pub,es,var
obs175," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.508041776,0.04131687
obs176," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.381448725,0.040742363
obs177," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.120947419,0.040074634
obs178," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.085607049,0.040037391
obs179," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.129801889,0.040085962
obs180," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,0.175160813,0.040156537
obs181," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.078554712,0.040031484
obs182," Latzel, V., Hájek, T., Klimešová, J., & Gómez, S. 2009",2009,-0.297963083,0.040452969
obs183,"McLean, A. H. C., Ferrari, J., & Godfray, H. C. J. 2000",2000,0.037006696,0.250048911
obs184,"McLean, A. H. C., Ferrari, J., & Godfray, H. C. J. 2000",2000,0.663514751,0.265723279
obs185,"McLean, A. H. C., Ferrari, J., & Godfray, H. C. J. 2000",2000,-0.608203532,0.263211126
obs186,"McLean, A. H. C., Ferrari, J., & Godfray, H. C. J. 2000",2000,0.658492687,0.265486165
obs187,"Via, S. 1991",1991,0.68597405,0.236927235
obs188,"Via, S. 1991",1991,-0.164097869,0.223063726
obs189,"Via, S. 1991",1991,-0.096379821,0.222512506
obs190,"Via, S. 1991",1991,0.521885351,0.230733607
obs191,"Via, S. 1991",1991,0.390598991,0.226989959
obs192,"Via, S. 1991",1991,-0.289391089,0.224839322
obs193,"Via, S. 1991",1991,0.259761359,0.224330846
obs194,"Via, S. 1991",1991,0.224606322,0.223798722
obs195,"Schmitt, J., Niles, J., & Wulff, R. 1992",1992,-0.148220269,0.250784616
obs196,"Schmitt, J., Niles, J., & Wulff, R. 1992",1992,0.729579875,0.269010243
obs197,"Schmitt, J., Niles, J., & Wulff, R. 1992",1992,-0.708528847,0.26792904
obs198,"Schmitt, J., Niles, J., & Wulff, R. 1992",1992,0.792328693,0.272420884
obs199,"Schmitt, J., Niles, J., & Wulff, R. 1992",1992,-0.349427245,0.290801761
obs200,"Schmitt, J., Niles, J., & Wulff, R. 1992",1992,-1.448427075,0.373128494
obs201,"Amzallag, G. 1994",1994,-0.292592361,0.067404686
obs202,"Amzallag, G. 1994",1994,0.691202933,0.087574152
obs203,"Amzallag, G. 1994",1994,-0.526100012,0.069052712
obs204,"Amzallag, G. 1994",1994,1.298130846,0.090277379
obs205,"Amzallag, G. 1994",1994,0.904865064,0.073725122
obs206,"Amzallag, G. 1994",1994,-2.541085366,0.151184294
obs207,"Amzallag, G. 1994",1994,1.758934527,0.093337793
obs208,"Amzallag, G. 1994",1994,-1.373526678,0.092214223
obs209,"Cadby, C. D., Jones, S. M., & Wapstra, E. 2011",2011,0.151533511,0.062685181
obs210,"Cadby, C. D., Jones, S. M., & Wapstra, E. 2011",2011,0.441954416,0.064075191
obs211,"Cadby, C. D., Jones, S. M., & Wapstra, E. 2011",2011,0.817767563,0.067893095
obs212,"Cadby, C. D., Jones, S. M., & Wapstra, E. 2011",2011,0.705763448,0.066516952
obs213,"Hereford, J., & Moriuchi, K. S. 2005",2005,0,0.1
obs214,"Hereford, J., & Moriuchi, K. S. 2005",2005,-0.203961808,0.100547374
obs215,"Alexander, H., & Wulff, R. 1985",1985,-0.582232354,0.709040981
obs216,"Alexander, H., & Wulff, R. 1985",1985,0.460082687,0.693126177
obs217,"Alexander, H., & Wulff, R. 1985",1985,-0.379152541,0.684636248
obs218,"Alexander, H., & Wulff, R. 1985",1985,0.431043039,0.689891429
obs219,"Alexander, H., & Wulff, R. 1985",1985,-0.905182036,0.769085982
obs220,"Alexander, H., & Wulff, R. 1985",1985,1.543590704,0.964500699
obs221,"Alexander, H., & Wulff, R. 1985",1985,-0.728195628,0.732950276
obs222,"Alexander, H., & Wulff, R. 1985",1985,0.190610251,0.6712082
obs223,"Alexander, H., & Wulff, R. 1985",1985,-2.632606258,1.532993631
obs224,"Alexander, H., & Wulff, R. 1985",1985,2.721778709,1.592676584
obs225,"Alexander, H., & Wulff, R. 1985",1985,-2.081453617,1.208222812
obs226,"Alexander, H., & Wulff, R. 1985",1985,1.85853791,1.098437062
obs227,"Alexander, H., & Wulff, R. 1985",1985,-0.727985738,0.732912071
obs228,"Alexander, H., & Wulff, R. 1985",1985,2.36863238,1.367969085
obs229,"Alexander, H., & Wulff, R. 1985",1985,-1.069541749,0.809656611
obs230,"Alexander, H., & Wulff, R. 1985",1985,0.975836087,0.785698675
obs231,"Alexander, H., & Wulff, R. 1985",1985,-0.165311167,0.200759105
obs232,"Alexander, H., & Wulff, R. 1985",1985,-0.003400102,0.200000321
obs233,"Alexander, H., & Wulff, R. 1985",1985,0.164398987,0.200750751
obs234,"Alexander, H., & Wulff, R. 1985",1985,0.358992674,0.203579882
obs235,"Alexander, H., & Wulff, R. 1985",1985,-0.072127056,0.200144509
obs236,"Alexander, H., & Wulff, R. 1985",1985,-0.503082814,0.207030342
obs237,"Alexander, H., & Wulff, R. 1985",1985,0.81396194,0.218403723
obs238,"Alexander, H., & Wulff, R. 1985",1985,-0.796714565,0.217632058
obs239,"Alexander, H., & Wulff, R. 1985",1985,0.66151225,0.212155513
obs240,"Alexander, H., & Wulff, R. 1985",1985,0.251803853,0.201761255
obs241,"Alexander, H., & Wulff, R. 1985",1985,-0.318103141,0.202810822
obs242,"Alexander, H., & Wulff, R. 1985",1985,1.395625429,0.254104732
obs243,"Alexander, H., & Wulff, R. 1985",1985,-0.21270021,0.201256705
obs244,"Alexander, H., & Wulff, R. 1985",1985,0.100921745,0.200282922
obs245,"Alexander, H., & Wulff, R. 1985",1985,-0.07267965,0.200146731
obs246,"Alexander, H., & Wulff, R. 1985",1985,-0.675802559,0.212686364
obs247,"Alexander, H., & Wulff, R. 1985",1985,0.425514225,0.411316397
obs248,"Alexander, H., & Wulff, R. 1985",1985,2.628645881,0.831861198
obs249,"Alexander, H., & Wulff, R. 1985",1985,-0.935210209,0.454663633
obs250,"Alexander, H., & Wulff, R. 1985",1985,-0.552865605,0.419103774
obs251,"Alexander, H., & Wulff, R. 1985",1985,-0.50792379,0.416124161
obs252,"Alexander, H., & Wulff, R. 1985",1985,0.496403447,0.415401024
obs253,"Alexander, H., & Wulff, R. 1985",1985,-0.593818613,0.422038784
obs254,"Alexander, H., & Wulff, R. 1985",1985,-0.739545639,0.434182984
obs255,"Zehnder, C., & Hunter, M. 2007",2007,0.558161106,0.208653995
obs256,"Zehnder, C., & Hunter, M. 2007",2007,-0.868237656,0.220939906
obs257,"Zehnder, C., & Hunter, M. 2007",2007,-1.014701962,0.228600558
obs258,"Zehnder, C., & Hunter, M. 2007",2007,0.099372626,0.200274303
obs259,"Zehnder, C., & Hunter, M. 2007",2007,-0.218149388,0.201321921
obs260,"Zehnder, C., & Hunter, M. 2007",2007,0.070236899,0.200137034
obs261,"Zehnder, C., & Hunter, M. 2007",2007,0,0.2
obs262,"Zehnder, C., & Hunter, M. 2007",2007,0.871124081,0.221079366
obs263,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.037888894,0.009480382
obs264,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,0.264990767,0.009562268
obs265,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.13747278,0.009501172
obs266,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.057397788,0.009482595
obs267,"Amarillo-Suárez, A. R., & Fox, C. W. 2006",2006,-0.118852071,0.009495489
